line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
신림선,신림,관악구,8612.300000000001,3684.9388888888893,4916.779166666667
우이신설선,4.19민주묘지,강북구,13217.694444444443,6345.228395061729,8063.344907407405
우이신설선,가오리,강북구,18107.337962962964,7361.438271604938,10047.913194444443
우이신설선,보문,성북구,6603.652777777777,2869.7299382716046,3803.210648148149
우이신설선,북한산보국문,성북구,26874.86574074074,10635.282407407409,14695.178240740739
우이신설선,북한산우이,강북구,12229.726851851852,6245.871913580246,7741.835648148149
우이신설선,삼양,강북구,8435.365740740743,3830.7793209876545,4981.925925925926
우이신설선,삼양사거리,강북구,10408.310185185186,4646.9367283950605,6087.280092592592
우이신설선,성신여대입구,성북구,14505.671296296297,7113.459876543211,8961.512731481484
우이신설선,솔밭공원,강북구,10511.708333333334,4501.270061728395,6003.8796296296305
우이신설선,솔샘,강북구,26082.083333333332,9133.4012345679,13370.571759259257
우이신설선,신설동,동대문구,9702.185185185184,3705.800925925925,5204.896990740739
우이신설선,정릉,성북구,19676.800925925927,8005.290123456792,10923.167824074073
우이신설선,화계,강북구,14410.33333333333,6132.956790123458,8202.300925925927
일산선,지축,은평구,1.722222222222222,0.7222222222222221,0.9722222222222222
